soil_id 	alluvial_flag 	depth 	cellcount 	tile_a 	tile_b 	sd1clay 	sd1silt 	sd1bulkD 	sd1om 	sd1coarse_frag 	sd1topSoil 	sd1theta_pwp 	sd1theta_s 	sd1ks 	sd1theta_r 	sd1fk 	sd1fk63 	sd1suction 	sd1bubb_pres 	sd1pore_size_i 	sd1nfk 	sd2clay 	sd2silt 	sd2bulkD 	sd2om 	sd2coarse_frag 	sd2topSoil 	sd2theta_pwp 	sd2theta_s 	sd2ks 	sd2theta_r 	sd2fk 	sd2fk63 	sd2suction 	sd2bubb_pres 	sd2pore_size_i 	sd2nfk 	sd3clay 	sd3silt 	sd3bulkD 	sd3om 	sd3coarse_frag 	sd3topSoil 	sd3theta_pwp 	sd3theta_s 	sd3ks 	sd3theta_r 	sd3fk 	sd3fk63 	sd3suction 	sd3bubb_pres 	sd3pore_size_i 	sd3nfk 	sd4clay 	sd4silt 	sd4bulkD 	sd4om 	sd4coarse_frag 	sd4topSoil 	sd4theta_pwp 	sd4theta_s 	sd4ks 	sd4theta_r 	sd4fk 	sd4fk63 	sd4suction 	sd4bubb_pres 	sd4pore_size_i 	sd4nfk 	sd5clay 	sd5silt 	sd5bulkD 	sd5om 	sd5coarse_frag 	sd5topSoil 	sd5theta_pwp 	sd5theta_s 	sd5ks 	sd5theta_r 	sd5fk 	sd5fk63 	sd5suction 	sd5bubb_pres 	sd5pore_size_i 	sd5nfk 	sd6clay 	sd6silt 	sd6bulkD 	sd6om 	sd6coarse_frag 	sd6topSoil 	sd6theta_pwp 	sd6theta_s 	sd6ks 	sd6theta_r 	sd6fk 	sd6fk63 	sd6suction 	sd6bubb_pres 	sd6pore_size_i 	sd6nfk
1 	6 	0 	0.616692552718581 	232527 	1 	1 	25.1370838890168 	37.7899003896662 	1.18205180779941 	13.101269065192 	15.644026203643 	1 	0.158442119295594 	0.541292403713946 	166.362301664252 	0.0934002735861759 	0.468316893088161 	0.474687437107926 	473.962304464018 	17.465201383648 	0.294790191871389 	0.374916619501985 	24.3024452968544 	37.9396186744397 	1.26369557379114 	8.27478758976008 	18.8038910150871 	0 	0.15595514680317 	0.503791782264509 	65.7300974979372 	0.0918650201032817 	0.394348034598794 	0.451858508837793 	520.789029680209 	19.8717929334702 	0.29801784113423 	0.302483014495512 	27.4457860006864 	36.4105301111657 	1.31560367858834 	6.55808953200954 	18.128939994874 	0 	0.168175111710773 	0.490881425187372 	60.9568692842182 	0.0980693359716143 	0.382993841879648 	0.450429448983841 	547.552769184154 	24.0474716230787 	0.280333035107217 	0.284924505908033 	30.029821848243 	33.0207013992363 	1.35996198907892 	3.82702076482317 	22.4891892596341 	0 	0.178809219874374 	0.479645529113154 	59.3482690265595 	0.102779888294915 	0.35229833230808 	0.440467343190398 	601.781581439505 	26.1713579154996 	0.262844717281046 	0.249518444013165 	30.5406686446826 	31.1277110474941 	1.4681954152313 	2.43418416312984 	25.3288835215055 	0 	0.181817802206974 	0.450023118916966 	58.4922373236584 	0.102135358193383 	0.325322008890713 	0.417523877293217 	728.666775144217 	32.6221206431799 	0.248206674276416 	0.22318665069733 	31.806017454615 	30.6728510797274 	1.48387407307654 	2.03937150614474 	27.5088789167539 	0 	0.18770856511767 	0.446053624509722 	55.9912054770162 	0.103044150078797 	0.325326729861814 	0.418691341674884 	760.452560255897 	36.0831502798522 	0.237426588559416 	0.222282579783017
2 	16 	0 	0.644064924249198 	1417 	1 	1 	23.9891319689485 	37.4022582921666 	1.24491884262526 	10.9740338743825 	17.4731827805222 	1 	0.154305202209943 	0.525003575645703 	191.133306868348 	0.0916922380028369 	0.428427362412464 	0.455392161373794 	512.660500804982 	17.9430850933861 	0.300039222698663 	0.336735124409627 	22.3119971771348 	37.8774876499647 	1.32531404375441 	6.50330218772054 	20.978263937897 	0 	0.148612264847107 	0.489105533727968 	71.5474750981812 	0.0881209406666097 	0.355025912328321 	0.430507212232416 	567.68860939221 	20.082172079062 	0.307803639566802 	0.266904971661711 	27.2781227946366 	35.3830628087509 	1.36779110797459 	5.44814015525759 	20.2592095977417 	0 	0.167590247122893 	0.47808934023151 	63.0876865015638 	0.098209395056867 	0.361666251343575 	0.436566855234063 	587.10396909375 	24.8974406966955 	0.279213360391879 	0.263456856286708 	29.7816513761468 	33.8628087508821 	1.37798870853917 	2.74202879322512 	23.3140437544107 	0 	0.179409782976532 	0.475668212197536 	58.2639454307214 	0.102266214426664 	0.336831573736496 	0.437674816654905 	604.905580743888 	27.3898198521555 	0.263631740615104 	0.234565359309832 	29.5122088920254 	33.0172194777699 	1.47142554693013 	1.99926859562456 	25.9266055045872 	0 	0.17934100602355 	0.449263534514157 	58.5276458353148 	0.100550366340532 	0.316980771239346 	0.417805643754411 	710.227736619158 	33.2420157369258 	0.25547489474235 	0.216430404898814 	30.3479887085392 	32.9820042342978 	1.48452364149612 	1.57559026111503 	27.709668313338 	0 	0.184182646024948 	0.445834191575301 	58.4451164108808 	0.101050194713494 	0.315125347038706 	0.418757262808751 	732.992424150158 	36.2244949784911 	0.248216383021581 	0.214075152325211
3 	18 	0 	0.579999983310699 	166 	1 	1 	23.5981927710843 	38.133734939759 	1.25548192771084 	10.9769891566265 	15.7644578313253 	1 	0.152954905065795 	0.520916854666681 	174.44291881676 	0.0906702260104083 	0.426788986746988 	0.454268669879518 	513.540777546693 	18.6199986704884 	0.301962347202977 	0.33611876073658 	22.8331325301205 	38.5963855421687 	1.32903614457831 	6.4989 	18.9650602409639 	0 	0.150775440267784 	0.487107256015453 	67.0593927570342 	0.088994061331911 	0.358970679703429 	0.434505837751004 	556.370200598644 	21.3673092416248 	0.305224464491744 	0.269976618371518 	26.1403614457831 	36.8710843373494 	1.36915662650602 	4.56278313253012 	16.1855421686747 	0 	0.164115931650794 	0.476590057316758 	62.2957177660374 	0.0957936928334582 	0.346194074513438 	0.434785563855422 	579.580246529334 	25.2249185752494 	0.286016306423331 	0.25040038167998 	28.416265060241 	35.833734939759 	1.43578313253012 	2.48788554216867 	18.4192771084337 	0 	0.175233454744058 	0.458715141823975 	56.9698866564765 	0.0988976549190848 	0.324997935310473 	0.428195133333333 	646.150611107892 	31.9525791798595 	0.267410975152706 	0.226100280391388 	28.1228915662651 	36.1638554216867 	1.4683734939759 	1.98800240963855 	18.5795180722892 	0 	0.175286225864872 	0.449320718139207 	55.5337846281043 	0.097843948973416 	0.314923543373494 	0.422028570281124 	679.601887351969 	34.8001427774728 	0.266265855228937 	0.217079594400078 	28.589156626506 	36.2668674698795 	1.48072289156627 	1.66264337349398 	20.1120481927711 	0 	0.178379418349793 	0.445966145167357 	55.5657826439473 	0.0981520334062959 	0.312566124745134 	0.422018945783133 	695.600731912223 	37.0482207347967 	0.261892699394737 	0.214414091338839
4 	1006 	1 	31.5340103102616 	199219 	1 	1 	25.4052598750473 	37.7215502520527 	1.19622171436752 	12.8724417865579 	15.7662781066904 	1 	0.159452621587469 	0.537767253613321 	170.0624807641 	0.0939565006626922 	0.46564907464072 	0.473088232466913 	479.135597780438 	18.0987912700676 	0.293606223054935 	0.371692573978028 	24.5676252850292 	37.7889091689929 	1.28216300091005 	8.06898681247891 	19.0207649518901 	0 	0.156994588428305 	0.499597344202799 	66.9469492221777 	0.0924088723884623 	0.391491803141594 	0.449326604291543 	530.899357287438 	20.7615598692006 	0.296427611371472 	0.299082930753132 	27.8031130811784 	36.2283802161621 	1.33103259813696 	6.30396749593546 	18.3333936623823 	0 	0.169604622478645 	0.487252439870091 	61.7216495655996 	0.0984790173802343 	0.380198077898016 	0.448632499422954 	561.434836180286 	25.3006029416378 	0.277309379430309 	0.281719060517782 	30.4412655807438 	33.2674197572523 	1.36647213104696 	3.64570040798798 	22.4113377710973 	0 	0.180761184495761 	0.478413280108581 	59.4584164177035 	0.102948946840987 	0.352221852064599 	0.441797680114591 	608.678308177848 	27.7445397426134 	0.259811882782707 	0.249272905223611 	30.961635326237 	31.6207220057875 	1.4719456629549 	2.27969143225252 	25.3033763816886 	0 	0.184318009612293 	0.44939622329103 	58.6031086234661 	0.102085686073671 	0.326310465854466 	0.420154739220699 	735.796149679739 	34.8205043802729 	0.245034038191404 	0.224224779780796 	32.1380845015696 	31.0909184330808 	1.48717792979335 	1.90737365256603 	27.3343926705318 	0 	0.189894384602562 	0.445463663391829 	56.5613289191341 	0.102774493951137 	0.326000939246839 	0.420789849337233 	770.925765965003 	38.2965944918648 	0.234803345262175 	0.223226445295702
5 	1016 	1 	27.6006655574043 	601 	1 	1 	23.7542429284526 	37.889850249584 	1.24241264559068 	11.0216116472546 	16.763227953411 	1 	0.153481349549556 	0.52602340939298 	203.377983913617 	0.091033819539043 	0.428797276820684 	0.456351402329451 	507.920288037972 	18.049864738808 	0.301280276113226 	0.33776345728164 	22.7144758735441 	37.8415973377704 	1.33440931780366 	6.46535940099834 	19.9584026622296 	0 	0.150185896348535 	0.487413919977044 	77.6841041533403 	0.0889785105868733 	0.356068740662998 	0.430680926677759 	569.702161955315 	20.8326331938746 	0.305519313575556 	0.267090230076124 	27.2800332778702 	35.8098169717138 	1.37214642262895 	5.33855740432612 	19.0472545757072 	0 	0.167817463276249 	0.477386486888502 	67.0296312473518 	0.0980066322538608 	0.360693343094842 	0.437079463449806 	587.299904124506 	25.6678169700043 	0.279021318242868 	0.262686710840981 	30.1833610648918 	34.3168053244592 	1.3822462562396 	2.89201896838602 	23.0164725457571 	0 	0.18101503543275 	0.475152718137018 	61.4214165408823 	0.102548592569459 	0.341598201126328 	0.440423147420965 	606.578264023645 	28.926528449337 	0.261063207930307 	0.239049608556869 	30.0750415973378 	33.0417637271215 	1.47753743760399 	1.90731214642263 	26.2782029950083 	0 	0.181989968793425 	0.447965794971543 	60.9115536188616 	0.101033040758994 	0.318561584077819 	0.419293122018857 	720.383196505867 	34.9575167620945 	0.250936023616794 	0.217528543318825 	31.3269550748752 	32.6034941763727 	1.49159733777038 	1.66799700499168 	27.7682196339434 	0 	0.187697064584781 	0.444357005665693 	59.8902533585373 	0.101933268835431 	0.320683244054781 	0.420921356073211 	751.875846073574 	38.4585715415514 	0.240396526795738 	0.21874997521935
6 	1018 	1 	15 	242 	1 	1 	23.6772727272727 	38.0537190082645 	1.2446694214876 	11.1423991735537 	15.0685950413223 	1 	0.153225409244732 	0.524022908279536 	170.012124965364 	0.0908433723697053 	0.430075866179275 	0.456325781818182 	508.06827776221 	18.2131204276517 	0.301649051864505 	0.33923249380957 	22.9285123966942 	38.4793388429752 	1.31607438016529 	6.77773140495868 	18.4206611570248 	0 	0.151061639628504 	0.490379514509128 	65.8731171346092 	0.0892353706361171 	0.363932876478067 	0.437015625895317 	548.79110300076 	20.7445211794185 	0.30485863887522 	0.27469750584195 	26.3789256198347 	36.6685950413223 	1.35723140495868 	4.53090247933884 	15.4099173553719 	0 	0.165010677882335 	0.479689703293928 	60.8549816715136 	0.096363272372309 	0.347657383534647 	0.43708161707989 	570.861979076245 	24.5766151645201 	0.285251336407978 	0.251294111162338 	28.5280991735537 	35.6801652892562 	1.43185950413223 	2.41313553719008 	18.0871900826446 	0 	0.175757236977744 	0.459718925463035 	56.0393842018095 	0.0991677873281421 	0.324666141703751 	0.428738291460055 	643.132012556768 	31.5995726844266 	0.267007903668464 	0.225498354375609 	28.1359504132231 	36.0243801652893 	1.46061983471074 	1.97770413223141 	18.250826446281 	0 	0.175287583979334 	0.451442264328118 	54.7286053535152 	0.0980486814732971 	0.315189402352193 	0.422876190358127 	671.455242366207 	33.886933070787 	0.266887449560124 	0.217140720878896 	28.7165289256198 	35.950826446281 	1.47566115702479 	1.68089752066116 	19.8057851239669 	0 	0.17868523575265 	0.447364015043166 	54.6683005914141 	0.0985303764272154 	0.31333148677686 	0.422424918181818 	691.666479865441 	36.2892708684324 	0.261479816650984 	0.214801110349644
7 	6 	0 	0.658497563671441 	599047 	1 	2 	23.9445337344148 	38.6830242034431 	1.15200483434522 	14.2480794635479 	13.166746348784 	1 	0.154057210053685 	0.549520639361286 	168.076026228313 	0.0905345448062792 	0.480480860000326 	0.478545768065166 	462.713653287125 	16.2894056845498 	0.299646306218763 	0.389946315194047 	23.7647573562675 	38.3018359160467 	1.23390595395687 	8.77863143092278 	15.6404909798396 	0 	0.153867544470411 	0.511402904172706 	68.6786809024018 	0.0907105856822117 	0.400804554670335 	0.456058940762355 	503.728913768246 	18.40698015508 	0.300762150503189 	0.310093968988123 	25.5886765145306 	37.5535367007931 	1.28826736466421 	7.30785654113951 	15.4163259310204 	0 	0.161052843483506 	0.497922815267757 	66.8124218733284 	0.0945361064389783 	0.386418793597369 	0.451142437135984 	526.980342567289 	21.6184911045493 	0.291232172969904 	0.291882687158391 	27.6673259360284 	33.8578049802436 	1.34149429009744 	4.44012472510504 	21.0337996851666 	0 	0.169070237839595 	0.483874296714278 	66.8450736503092 	0.0991914054845979 	0.349827314775558 	0.436348765504654 	583.947541503012 	22.6643063751113 	0.277431232741805 	0.25063590929096 	28.4589099018942 	31.4102756544979 	1.46088977993379 	2.68835485362584 	23.9884428099965 	0 	0.172812586647389 	0.451221254294151 	67.8676114872572 	0.0998191163733414 	0.317881628952242 	0.410632451223582 	710.100218016922 	28.4173464941551 	0.262846765278901 	0.218062512578901 	29.2396105814736 	31.2947139373038 	1.47211946641916 	2.24279513126683 	26.610279994725 	0 	0.176662558476614 	0.4483080212959 	65.6049252785039 	0.100459998913708 	0.315418687216786 	0.411354386725916 	726.5133099982 	30.5957980981966 	0.256260729713104 	0.214958688303078
8 	16 	0 	0.593649429151382 	696 	1 	2 	27.9272988505747 	35.8949712643678 	1.23583333333333 	11.17565 	15.6579022988506 	1 	0.168662429588886 	0.527910798332756 	171.916417064486 	0.0999281614700184 	0.451399896551724 	0.469942997796935 	489.815202119568 	19.6810508261652 	0.282672481355971 	0.351471735081706 	25.7798850574713 	36.6156609195402 	1.30823275862069 	8.33755 	18.6600574712644 	0 	0.161400998643576 	0.493797142065207 	67.2039721869307 	0.0954906645365886 	0.397806710543767 	0.447206456800766 	543.104605494694 	21.5148922099051 	0.290155881341781 	0.302316046007178 	28.9274425287356 	35.4505747126437 	1.35685344827586 	6.841925 	18.6077586206897 	0 	0.173704453528482 	0.481228278570583 	61.086673951291 	0.100411763402515 	0.390292659748011 	0.4477717151341 	580.255987456839 	26.9988774395447 	0.270969401815763 	0.289880896345495 	32.5221264367816 	31.0320402298851 	1.38189655172414 	4.21235 	23.4283045977011 	0 	0.186996368543699 	0.474973347777645 	58.5396051479203 	0.106136060490442 	0.366245117197171 	0.442305505268199 	640.459217555785 	29.3655705478418 	0.246182655908249 	0.260109056706729 	32.5034482758621 	28.7205459770115 	1.48997126436782 	2.59195 	26.3494252873563 	0 	0.188677864252585 	0.444925096269094 	61.9684353193281 	0.104136961210436 	0.332513797082228 	0.415393269252874 	792.24725593157 	35.9581588452508 	0.231678073202839 	0.228376835871792 	34.6185344827586 	27.9514367816092 	1.50544540229885 	2.1106 	28.0705459770115 	0 	0.198428526965664 	0.441423621014815 	55.7751933719838 	0.105082039893931 	0.335656349005305 	0.419278927394636 	845.374938959342 	41.8915441269388 	0.214235024669758 	0.230574309111374
9 	1006 	1 	25.2079811249561 	230569 	1 	2 	24.2054200694803 	39.1173410128855 	1.1351350788701 	15.5098896538563 	12.9610212127389 	1 	0.155031184021989 	0.553662282501326 	161.058082282202 	0.0908042475852354 	0.500593178150242 	0.485484290191656 	449.856683835556 	16.4005968103499 	0.29838630281387 	0.409788930565006 	23.7676292129471 	38.8886376746223 	1.21652247266545 	9.05061057731091 	15.4092536290655 	0 	0.153965770476089 	0.515488281858984 	66.9205692755781 	0.0904050039734845 	0.406772245658817 	0.461082442022706 	491.071661962638 	18.4236766202012 	0.300670027734 	0.316367241685332 	25.6452137971713 	37.9499082704093 	1.27221712372435 	7.06159042022128 	14.9866187562075 	0 	0.161420506136078 	0.50183048903787 	64.9055738811577 	0.0943783424164741 	0.385439112249795 	0.454894326471758 	516.221200437516 	21.5632648326227 	0.291004392248678 	0.291060769833321 	27.7163673347241 	34.448220706166 	1.33890956720114 	4.11576722803152 	20.5566702375428 	0 	0.169707432736084 	0.484604729262665 	64.8278918923459 	0.0990185351618446 	0.347124034772304 	0.438415333001401 	577.505504081132 	23.2906609138733 	0.277502528744442 	0.24810549961046 	28.5945777619715 	32.2328183754104 	1.4594644986967 	2.55485314851519 	23.8162454623128 	0 	0.173998659166634 	0.451724056062256 	65.4758109538572 	0.099635750656794 	0.318515031307698 	0.413890114996957 	703.247442832188 	29.7283105531147 	0.262407925841727 	0.218879280650904 	28.8166167177721 	32.22754663463 	1.47357021108649 	2.1161158716046 	26.3140890579393 	0 	0.175772579820778 	0.447702223594184 	64.5626941715081 	0.0994619357263684 	0.312949387344486 	0.412013182994534 	722.445958461413 	31.4819926168581 	0.259454082503429 	0.213487451618118
10 	1016 	1 	10 	150 	1 	2 	29.0246666666667 	36.5913333333333 	1.23933333333333 	10.455428 	18.4766666666667 	1 	0.173060603490585 	0.527744294089292 	174.021003061071 	0.101693425075677 	0.449200941948718 	0.475519904444444 	476.802381442952 	21.3987232385657 	0.278301853761306 	0.347507516873041 	26.7326666666667 	37.1213333333333 	1.331 	7.168336 	20.9246666666667 	0 	0.165381815014924 	0.489631670064187 	69.6718998954101 	0.0970041475367432 	0.387094281333333 	0.447840226666667 	545.711606208676 	23.9852159494484 	0.284798179476376 	0.29009013379659 	32.656 	34.5306666666667 	1.3612 	4.549056 	20.3546666666667 	0 	0.188603790529373 	0.481964889040066 	55.0934645186113 	0.105934442859154 	0.379392035076923 	0.457743699555556 	586.942193181622 	31.513290412532 	0.249935405045751 	0.273457592217769 	35.6413333333333 	32.908 	1.39353333333333 	3.27758 	23.732 	0 	0.201051954657259 	0.473824022255878 	47.4501699723522 	0.108383907122599 	0.374282530153846 	0.459051255111111 	649.830325310827 	38.1077479636298 	0.228191651151949 	0.265898623031247 	36.5453333333333 	31.994 	1.48013333333333 	1.671444 	28.64 	0 	0.209326041861885 	0.450062444234727 	46.4937204998652 	0.105955611486736 	0.350161256205128 	0.444146444888889 	799.653142541794 	49.5321801645254 	0.207273979316158 	0.244205644718392 	39.084 	31.1426666666667 	1.50826666666667 	1.138192 	29.1793333333333 	0 	0.223298552124364 	0.443029693708305 	41.1973306658391 	0.10529071807633 	0.353930870564103 	0.447562845333333 	913.934267147425 	61.2847321304875 	0.184710567778164 	0.248640152487772
