soil_id	class_id	fraction
6	1	0.27506439496835
6	2	0.373636476938819
6	3	0.351299128092831
16	1	0.282060999257603
16	2	0.368200609674154
16	3	0.349738391068243
18	1	0.279187838877047
18	2	0.392222788423284
18	3	0.32858937269967
1006	1	0.28162686596081
1006	2	0.377650164316357
1006	3	0.340722969722834
1016	1	0.288822709350285
1016	2	0.375486195401366
1016	3	0.335691095248349
1018	1	0.282256030264689
1018	2	0.398019639923269
1018	3	0.319724329812042
0	1	0.0976271367521367
0	2	0.146386752136752
0	3	0.755986111111111
1000	1	0.0667073808337173
1000	2	0.105074562970764
1000	3	0.828218056195518
