pid	description	bedrock_flag	alluvial_flag	b_om
6	NA	1	0	11.896321987756
16	NA	1	0	10.8821882471856
18	NA	1	0	10.1374145112465
1006	NA	0	1	11.2773095527826
1016	NA	0	1	10.7216304014043
1018	NA	0	1	9.67923330828742
0	NA	1	0	3.24839038461538
1000	NA	0	1	2.46772227979275
